대륙,국적,성별,A1(외교),A2(공무),B1(사증면제),B2(관광통과),C1(일시취재),C3(단기방문),C4(단기취업),D1(문화예술),D2(유학),D3(기술연수),D4(일반연수),D5(취재),D6(종교),D7(주재),D8(기업투자),D9(무역경영),D10(구직),E1(교수),E2(회화),E3(연구),E4(기술지도),E5(전문직업),E6(예술흥행),E7(특정활동),E8(계절근로),E9(비전문취업),E10(선원취업),F1(방문동거),F2(거주),F3(동반),F4(재외동포),F5(영주),F6(결혼이민),G1(기타),H1(관광취업),H2(방문취업),T1(관광상륙),기타
오세아니아주,통가,남성,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
오세아니아주,통가,여성,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
오세아니아주,나우루,남성,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
오세아니아주,나우루,여성,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아프리카주,남아프리카공화국,남성,11,0,0,165,0,11,4,0,7,0,3,0,2,2,8,0,6,23,769,1,6,0,7,32,0,1,0,1,24,60,7,23,134,137,0,0,0,33
아프리카주,남아프리카공화국,여성,19,2,0,156,0,5,1,0,16,0,12,0,0,0,0,0,9,13,1824,0,0,0,5,34,0,0,0,5,14,90,3,2,44,34,0,0,0,21
아프리카주,나이지리아,남성,50,11,0,11,0,287,0,0,242,0,52,0,6,1,86,105,34,3,0,24,0,0,4,10,0,23,0,12,22,163,0,28,157,555,0,0,0,403
아프리카주,나이지리아,여성,41,13,0,0,0,29,0,0,100,0,35,0,1,0,11,6,15,0,0,4,0,0,1,6,0,1,0,8,13,229,0,2,1,63,0,0,0,46
아프리카주,이집트,남성,33,18,1,180,0,136,1,0,66,0,9,0,1,0,62,17,1,8,1,31,0,0,2,25,0,1,0,12,72,110,0,19,98,1242,0,0,0,197
아프리카주,이집트,여성,24,1,0,9,0,33,0,0,64,0,37,0,0,0,4,0,8,4,1,4,0,0,3,6,0,0,0,15,51,149,0,4,31,109,0,0,0,10
아프리카주,모로코,남성,19,0,106,0,0,12,1,0,28,0,24,0,0,0,1,3,0,2,0,4,0,0,4,9,0,1,0,9,7,7,0,13,118,414,0,0,0,79
아프리카주,모로코,여성,21,5,91,0,0,23,0,0,110,0,78,0,0,0,0,0,11,3,0,4,0,0,9,15,0,0,0,25,10,16,0,10,284,157,0,0,0,25
아프리카주,가나,남성,23,11,0,2,0,267,1,0,225,0,21,0,2,0,20,14,50,4,0,18,0,0,3,19,0,31,0,28,10,27,0,4,26,293,0,0,0,125
아프리카주,가나,여성,18,4,0,1,0,18,0,0,51,0,8,0,0,0,3,1,10,0,0,1,0,0,0,4,0,1,0,13,5,38,0,1,1,39,0,0,0,33
아프리카주,에티오피아,남성,20,24,0,1,0,16,0,0,198,0,22,0,3,2,3,0,12,10,0,38,0,0,0,9,0,0,0,6,100,25,0,19,8,141,0,0,0,67
아프리카주,에티오피아,여성,28,25,0,0,0,11,0,0,61,0,7,0,0,0,0,0,3,0,0,6,0,0,0,5,0,0,0,26,65,67,0,8,18,78,0,0,0,35
