대륙,국적,성별,문화예술(D-1),유학(D-2),기술연수(D-3),일반연수(D-4),취재(D-5),종교(D-6),주재(D-7),기업투자(D-8),무역경영(D-9),구직(D-10),연수취업(E8),교수(E-1),회화강사(E-2),연구(E-3),기술지도(E-4),전문직업(E-5),예술흥행(E-6),특정활동(E-7),비전문취업(E-9),선원취업(E-10),방문동거(F-1),거주(F-2),동반(F-3),영주(F-5),결혼이민(F-6),기타(G-1),관광취업(H-1),방문취업(H-2),기타(other)
아시아주,아프가니스탄,여성,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202,56,0,3,18,0,0,18
아시아주,싱가포르,남성,0,65,0,13,0,0,7,35,10,4,0,6,0,2,1,0,5,43,0,0,8,13,17,12,62,0,0,0,15
아시아주,싱가포르,여성,0,142,0,35,3,1,5,21,1,4,0,1,0,2,0,0,1,33,0,0,6,23,45,31,102,1,0,0,24
아시아주,타지키스탄,남성,0,97,0,49,0,0,0,59,11,17,11,0,0,1,0,0,0,19,0,0,67,14,45,6,3,76,0,44,9
아시아주,타지키스탄,여성,0,38,0,18,0,0,0,5,0,5,0,0,0,0,0,0,0,2,0,0,65,9,76,1,8,2,0,28,12
아시아주,아랍에미리트연합,남성,0,27,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,158,0,0,67
아시아주,아랍에미리트연합,여성,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,172,0,0,43
아시아주,요르단,남성,0,14,0,5,0,1,0,114,37,2,0,2,0,4,0,0,1,5,0,0,1,13,58,6,9,22,0,0,13
아시아주,요르단,여성,0,19,0,3,0,0,0,0,0,2,0,1,1,2,0,0,0,2,0,0,3,7,122,1,5,2,0,0,4
아시아주,이라크,남성,0,11,0,4,0,0,0,35,14,2,0,0,0,4,0,0,1,3,1,0,4,12,31,3,7,121,0,0,27
아시아주,이라크,여성,0,18,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,0,4,10,60,2,6,14,0,0,30
아시아주,투르크메니스탄,남성,0,15,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,38,0,1,2,4,3,0,24,13
아시아주,투르크메니스탄,여성,0,22,0,18,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,35,5,0,1,11,0,0,7,20
아시아주,이스라엘,남성,0,8,0,4,0,0,2,16,1,0,0,2,0,0,0,0,0,6,0,0,1,3,10,5,17,0,0,0,18
아시아주,이스라엘,여성,0,15,0,20,0,0,0,1,0,1,0,0,0,0,0,0,3,3,0,0,0,2,29,1,11,1,0,0,20
아시아주,브루나이,남성,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,15
아시아주,브루나이,여성,0,61,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,15
아시아주,마카오,남성,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,13,0,0,1,2,0,1,2,0,0,0,0
아시아주,마카오,여성,0,21,0,14,0,0,0,1,0,3,0,0,0,0,0,0,0,5,0,0,1,1,0,2,13,0,0,0,0
아시아주,팔레스타인,남성,0,6,0,2,0,0,0,21,3,1,0,0,0,0,0,0,0,0,0,0,0,1,5,7,2,7,0,0,1
아시아주,팔레스타인,여성,0,3,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,1,1,2,0,0,0
아시아주,오만,남성,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,8,0,0,11
아시아주,오만,여성,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,10,0,0,7
아시아주,쿠웨이트,남성,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,18
아시아주,쿠웨이트,여성,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,1,1,0,0,14
아시아주,카타르,남성,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,17
아시아주,카타르,여성,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
아시아주,부탄,남성,0,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,3
